Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
=100,Penn State (Main campus),United States,66.2,54.5,62.3,83.0,70.9,57.6
=100,University of Tübingen,Germany,66.2,47.8,55.1,89.0,99.8,73.0
=102,Sungkyunkwan University (SKKU),South Korea,66.1,58.1,56.7,79.3,99.5,63.7
=102,Yonsei University (Seoul campus),South Korea,66.1,57.5,56.2,84.4,99.9,47.2
=104,Free University of Berlin,Germany,65.8,49.9,59.6,82.7,71.0,81.7
=104,University of Bern,Switzerland,65.8,46.1,47.9,92.8,99.1,87.1
106,University of Warwick,United Kingdom,65.7,47.9,51.5,89.0,69.3,96.2
=107,Erasmus University Rotterdam,Netherlands,65.6,37.2,53.3,96.7,88.7,88.5
=107,University of Helsinki,Finland,65.6,48.8,58.0,90.9,68.2,59.2
=110,Aarhus University,Denmark,65.5,44.2,59.4,84.3,99.7,79.4
=110,University of Vienna,Austria,65.5,48.0,61.0,78.6,74.5,94.6
=112,Ghent University,Belgium,65.4,47.7,59.5,84.2,99.9,64.7
=112,Rice University,United States,65.4,55.1,46.1,88.4,72.5,85.2
=112,"University of Maryland, College Park",United States,65.4,49.0,57.7,92.1,71.6,49.4
115,University of Southampton,United Kingdom,65.3,47.2,47.7,91.2,72.7,96.7
=116,McMaster University,Canada,65.2,41.2,50.2,93.0,100.0,87.6
=116,Ohio State University (Main campus),United States,65.2,55.0,51.7,87.6,83.6,58.4
=116,University of Alberta,Canada,65.2,48.2,56.7,79.3,100.0,90.4
=116,University of Oslo,Norway,65.2,46.6,52.4,91.6,74.5,77.7
120,Tohoku University,Japan,65.0,69.0,69.6,53.1,100.0,59.9
121,University of Göttingen,Germany,64.8,49.2,54.0,88.2,70.7,70.5
122,Michigan State University,United States,64.7,54.9,53.5,83.5,70.0,69.1
123,University of Leeds,United Kingdom,64.5,46.4,51.0,87.0,71.2,94.6
124,Technical University of Denmark,Denmark,64.4,49.8,46.8,84.0,99.8,92.2
125,Université de Montréal,Canada,64.3,49.3,53.2,79.5,97.8,86.8
126,University of Basel,Switzerland,64.2,50.5,42.7,86.0,99.7,95.1
127,University of Rochester,United States,63.9,50.8,44.5,87.8,91.6,80.1
=128,University of Adelaide,Australia,63.8,39.1,48.1,92.3,93.5,92.0
=128,University of Freiburg,Germany,63.8,45.4,51.3,86.9,100.0,73.1
=130,University of Florida,United States,63.6,54.4,56.8,79.1,89.9,50.7
=130,Uppsala University,Sweden,63.6,44.2,55.4,83.4,96.1,74.6
=132,Maastricht University,Netherlands,63.2,40.3,46.7,88.6,98.3,97.1
=132,University of Hamburg,Germany,63.2,44.5,53.5,85.2,99.6,66.3
=134,University of Lausanne,Switzerland,63.0,41.0,46.0,89.5,99.0,89.8
=134,Wuhan University,China,63.0,52.8,46.3,90.1,98.2,40.9
=136,University of Arizona,United States,62.7,48.0,52.8,86.3,81.0,54.5
=136,University of Nottingham,United Kingdom,62.7,43.6,46.2,88.3,71.8,93.6
=136,Vrije Universiteit Amsterdam,Netherlands,62.7,37.4,49.6,92.9,73.0,86.2
139,Trinity College Dublin,Ireland,62.5,43.3,47.7,85.8,83.5,91.6
140,Technical University of Berlin,Germany,62.4,45.4,54.7,79.5,99.7,71.4
=141,Queen Mary University of London,United Kingdom,62.3,36.1,42.3,97.1,72.5,98.0
=141,University of Pittsburgh-Pittsburgh campus,United States,62.3,48.6,45.7,93.0,76.2,49.8
=143,Radboud University Nijmegen,Netherlands,62.2,38.4,50.4,90.4,81.0,79.0
=143,Texas A&M University,United States,62.2,52.7,57.3,74.3,73.2,64.3
=143,University of Colorado Boulder,United States,62.2,47.0,52.6,86.6,73.3,56.3
=146,Beijing Normal University,China,62.1,57.5,48.4,79.9,80.7,52.0
=146,University of Bologna,Italy,62.1,53.1,47.7,83.8,79.8,57.0
=146,University of York,United Kingdom,62.1,42.4,44.2,90.6,66.8,92.9
=149,The University of Western Australia,Australia,62.0,37.8,47.2,87.6,98.3,93.0
=149,University of Barcelona,Spain,62.0,41.6,50.1,90.2,80.5,65.6
151,Pohang University of Science and Technology (POSTECH),South Korea,61.9,55.9,50.0,78.8,100.0,43.0
=152,Harbin Institute of Technology,China,61.8,57.3,55.2,74.7,99.9,33.7
=152,University of Auckland,New Zealand,61.8,40.4,46.4,87.8,87.4,88.5
=154,Scuola Normale Superiore di Pisa,Italy,61.7,59.5,46.5,82.6,36.4,59.0
=154,Tongji University,China,61.7,51.6,53.3,72.8,99.0,70.1
=154,University of Technology Sydney,Australia,61.7,35.2,42.5,94.9,88.2,93.0
=157,Newcastle University,United Kingdom,61.4,37.1,42.9,93.0,82.9,90.8
=157,University of Cologne,Germany,61.4,42.9,47.5,86.0,96.5,70.5
159,Case Western Reserve University,United States,61.2,51.1,40.3,88.6,70.9,66.3
=160,TU Dresden,Germany,61.1,47.2,50.6,78.6,99.8,65.9
=160,University of Liverpool,United Kingdom,61.1,40.1,40.7,92.1,65.7,95.5
162,The University of Osaka,Japan,61.0,63.5,65.4,51.8,100.0,50.7
=163,University of Virginia (Main campus),United States,60.9,49.3,42.2,87.3,85.2,60.1
=163,University of Waterloo,Canada,60.9,41.0,48.9,83.1,77.1,88.4
=163,University of Würzburg,Germany,60.9,39.8,44.1,92.7,99.9,61.0
=166,Huazhong University of Science and Technology,China,60.8,46.7,48.4,88.3,99.7,33.0
=166,Karlsruhe Institute of Technology,Germany,60.8,45.8,56.9,71.1,100.0,73.1
=168,Dartmouth College,United States,60.7,56.8,39.4,83.2,75.9,60.5
=168,Lancaster University,United Kingdom,60.7,41.6,40.8,89.1,66.4,96.2
=168,University of Antwerp,Belgium,60.7,38.1,44.6,89.9,98.5,75.3
171,University of Geneva,Switzerland,60.6,43.2,39.0,86.4,84.0,96.5
=172,Durham University,United Kingdom,60.4,43.6,43.9,83.7,62.5,95.5
=172,National Taiwan University (NTU),Taiwan,60.4,53.3,54.6,69.0,100.0,55.0
=172,University of Exeter,United Kingdom,60.4,34.8,42.3,94.9,56.0,94.9
175,Université Catholique de Louvain,Belgium,60.2,39.4,49.4,81.1,94.0,82.6
=176,King Fahd University of Petroleum and Minerals,Saudi Arabia,60.1,36.9,41.5,88.7,91.6,92.1
=176,Pompeu Fabra University,Spain,60.1,36.0,44.6,90.0,83.9,82.2
178,Macquarie University,Australia,59.9,35.2,42.7,89.4,93.4,87.4
179,Tufts University,United States,59.8,50.7,36.3,89.1,72.7,63.1
=180,University of Cape Town,South Africa,59.7,37.8,45.3,86.6,80.6,82.4
=180,University of Macau,Macao,59.7,37.7,39.0,90.7,70.4,96.6
=180,University of Twente,Netherlands,59.7,43.6,46.4,74.6,99.3,93.1
=183,Southern University of Science and Technology (SUSTech),China,59.6,36.7,43.3,93.2,80.9,67.1
=183,Université Paris Cité,France,59.6,44.7,37.8,90.7,67.0,73.8
=185,Eindhoven University of Technology,Netherlands,59.5,46.2,51.0,68.0,100.0,88.4
=185,Sapienza University of Rome,Italy,59.5,53.4,50.8,73.7,93.0,42.6
=185,University of St Andrews,United Kingdom,59.5,47.4,44.0,76.9,65.5,94.8
188,University of Münster,Germany,59.4,44.0,47.9,83.9,82.2,54.7
=189,Indiana University,United States,59.3,46.6,38.3,87.4,85.0,64.0
=189,Korea University,South Korea,59.3,49.3,48.6,72.6,99.8,65.7
=191,Abu Dhabi University,United Arab Emirates,59.2,45.1,39.2,87.4,25.4,97.9
=191,Stockholm University,Sweden,59.2,32.8,49.0,89.3,65.1,79.6
=191,University of Leicester,United Kingdom,59.2,34.9,34.9,96.1,69.7,95.5
=191,University of Ottawa,Canada,59.2,37.2,44.7,85.1,81.4,87.0
195,Tokyo Institute of Technology,Japan,59.1,61.1,63.9,47.5,100.0,57.6
=196,Aalto University,Finland,58.9,41.7,43.1,81.3,88.2,82.7
=196,"University of California, Santa Cruz",United States,58.9,35.3,41.7,93.2,71.9,73.9
=196,University of Notre Dame,United States,58.9,53.2,45.1,72.4,73.9,72.3
=199,Ulm University,Germany,58.7,39.7,40.5,87.9,99.7,65.3
=199,Universitat Autònoma de Barcelona (UAB),Spain,58.7,43.9,42.4,84.1,72.4,70.3
=199,University of Mannheim,Germany,58.7,36.6,44.8,87.1,94.4,66.6
=199,University of São Paulo,Brazil,58.7,58.8,60.7,55.7,93.9,43.0
201–250,Arizona State University (Tempe),United States,55.8–58.6,38.5,45.2,84.4,70.9,71.5
201–250,Beijing Institute of Technology,China,55.8–58.6,45.4,44.0,76.3,98.5,42.4
201–250,Cardiff University,United Kingdom,55.8–58.6,37.6,38.9,88.3,70.2,91.9
201–250,Chalmers University of Technology,Sweden,55.8–58.6,41.7,46.0,74.0,94.6,78.6
201–250,Deakin University,Australia,55.8–58.6,29.8,36.3,91.5,76.8,85.4
201–250,Friedrich Schiller University Jena,Germany,55.8–58.6,42.6,42.3,83.0,78.0,64.2
201–250,Georgetown University,United States,55.8–58.6,50.4,34.7,83.7,92.3,54.3
201–250,George Washington University,United States,55.8–58.6,48.6,35.1,86.3,67.8,68.3
201–250,Goethe University Frankfurt,Germany,55.8–58.6,42.5,43.3,82.5,83.9,68.7
201–250,Indian Institute of Science,India,55.8–58.6,61.4,56.6,53.7,97.3,31.6
201–250,Khalifa University,United Arab Emirates,55.8–58.6,29.6,39.8,87.8,95.4,94.7
201–250,Linköping University,Sweden,55.8–58.6,29.8,41.2,88.4,95.3,73.0
201–250,Medical University of Graz,Austria,55.8–58.6,30.5,34.6,92.0,96.6,82.6
201–250,Medical University of Vienna,Austria,55.8–58.6,39.7,29.7,93.9,97.5,81.0
201–250,Nagoya University,Japan,55.8–58.6,55.0,55.9,54.9,99.7,42.9
201–250,Nankai University,China,55.8–58.6,50.0,32.3,86.4,76.0,49.2
201–250,"Northeastern University, US",United States,55.8–58.6,39.5,32.7,91.9,69.5,82.7
201–250,Politecnico di Milano,Italy,55.8–58.6,43.3,49.6,69.4,96.3,64.4
201–250,Qatar University,Qatar,55.8–58.6,31.0,37.4,87.5,69.0,95.1
201–250,Queensland University of Technology,Australia,55.8–58.6,33.1,40.0,88.7,86.7,80.8
201–250,Queen’s University Belfast,United Kingdom,55.8–58.6,35.2,37.8,89.8,67.6,98.3
201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,55.8–58.6,49.9,39.5,80.2,92.3,60.0
201–250,Sejong University,South Korea,55.8–58.6,31.8,34.9,94.3,83.2,68.9
201–250,Sichuan University,China,55.8–58.6,48.2,49.1,72.8,98.8,44.6
201–250,Sun Yat-sen University,China,55.8–58.6,47.1,38.1,83.7,93.7,37.1
201–250,Tel Aviv University,Israel,55.8–58.6,40.4,49.1,79.5,78.7,54.9
201–250,Tianjin University,China,55.8–58.6,46.8,47.7,73.4,99.6,57.3
201–250,Ulsan National Institute of Science and Technology (UNIST),South Korea,55.8–58.6,48.0,39.8,83.2,97.0,41.6
201–250,Université Libre de Bruxelles,Belgium,55.8–58.6,36.3,45.5,82.9,68.6,88.3
201–250,Universiti Teknologi Petronas,Malaysia,55.8–58.6,36.8,39.1,82.2,80.2,78.0
201–250,University College Dublin,Ireland,55.8–58.6,32.7,41.2,85.9,76.0,89.4
201–250,University of Aberdeen,United Kingdom,55.8–58.6,34.8,36.0,81.9,79.1,97.4
201–250,University of Calgary,Canada,55.8–58.6,34.4,42.8,83.6,88.9,85.7
201–250,University of Erlangen-Nuremberg,Germany,55.8–58.6,42.1,48.4,78.5,100.0,61.8
201–250,University of Gothenburg,Sweden,55.8–58.6,34.6,43.4,90.2,77.3,64.4
201–250,University of Illinois Chicago,United States,55.8–58.6,49.5,34.9,79.8,77.4,60.1
201–250,University of Luxembourg,Luxembourg,55.8–58.6,39.2,39.5,77.1,81.3,92.7
201–250,University of Miami,United States,55.8–58.6,46.5,34.8,83.6,79.9,65.6
201–250,University of Padua,Italy,55.8–58.6,45.6,39.9,82.3,80.7,54.5
201–250,University of Potsdam,Germany,55.8–58.6,37.7,45.2,81.8,91.2,66.3
201–250,University of Reading,United Kingdom,55.8–58.6,38.6,38.5,86.6,66.6,95.3
201–250,University of Surrey,United Kingdom,55.8–58.6,33.8,34.7,89.0,73.3,96.8
201–250,University of Sussex,United Kingdom,55.8–58.6,31.8,36.0,89.6,62.7,95.5
201–250,University of Utah,United States,55.8–58.6,44.0,39.0,89.0,88.5,41.6
201–250,University of Wollongong,Australia,55.8–58.6,34.6,37.4,85.4,91.2,92.0
201–250,Vita-Salute San Raffaele University,Italy,55.8–58.6,34.2,33.5,99.0,67.2,48.0
201–250,Vrije Universiteit Brussel,Belgium,55.8–58.6,37.6,42.7,81.1,90.4,78.3
201–250,Western University,Canada,55.8–58.6,39.5,42.1,76.7,99.5,87.0
201–250,Xi’an Jiaotong University,China,55.8–58.6,45.6,49.1,74.0,99.9,34.0
251–300,Aalborg University,Denmark,53.7–55.7,31.7,44.7,80.9,87.6,73.5
251–300,Beihang University,China,53.7–55.7,44.1,46.3,71.3,99.9,35.8
251–300,Boston College,United States,53.7–55.7,46.3,32.3,85.3,58.3,60.5
251–300,Curtin University,Australia,53.7–55.7,28.2,34.7,88.9,76.6,94.8
251–300,East China Normal University,China,53.7–55.7,43.9,36.0,78.5,87.2,52.8
251–300,École Normale Supérieure de Lyon,France,53.7–55.7,56.7,45.4,53.0,86.3,67.1
251–300,Hanyang University,South Korea,53.7–55.7,45.2,41.1,64.8,99.5,68.7
251–300,Heinrich Heine University Düsseldorf,Germany,53.7–55.7,37.1,34.6,85.4,84.2,69.1
251–300,Hong Kong Baptist University,Hong Kong,53.7–55.7,32.3,40.0,80.8,70.4,98.1
251–300,Humanitas University,Italy,53.7–55.7,32.2,28.0,98.4,64.3,65.8
251–300,Johannes Gutenberg University of Mainz,Germany,53.7–55.7,38.7,33.2,81.8,82.9,65.7
251–300,King Saud University,Saudi Arabia,53.7–55.7,35.5,29.9,83.3,84.6,82.9
251–300,Kyung Hee University,South Korea,53.7–55.7,40.2,39.8,71.8,99.9,72.1
251–300,Lappeenranta-Lahti University of Technology LUT,Finland,53.7–55.7,31.7,35.6,87.2,80.7,70.1
251–300,La Trobe University,Australia,53.7–55.7,29.2,36.2,89.3,77.2,88.1
251–300,Lebanese American University,Lebanon,53.7–55.7,37.2,30.6,91.4,29.0,85.2
251–300,Macau University of Science and Technology,Macao,53.7–55.7,33.9,36.7,79.6,73.9,98.0
251–300,Medical University of Innsbruck,Austria,53.7–55.7,31.5,30.2,89.8,99.0,88.5
251–300,North Carolina State University,United States,53.7–55.7,44.9,40.7,71.1,79.5,62.4
251–300,Northwestern Polytechnical University,China,53.7–55.7,37.7,41.9,76.3,99.2,49.1
251–300,Prince Mohammad Bin Fahd University,Saudi Arabia,53.7–55.7,39.1,37.3,79.2,46.0,90.9
251–300,RCSI University of Medicine and Health Sciences,Ireland,53.7–55.7,32.0,36.6,82.6,80.4,91.6
251–300,RMIT University,Australia,53.7–55.7,34.0,36.5,82.8,77.0,92.9
251–300,Semmelweis University,Hungary,53.7–55.7,45.0,29.6,80.1,74.7,78.5
251–300,South China University of Technology,China,53.7–55.7,36.4,38.0,84.3,99.5,44.6
251–300,Southern Medical University,China,53.7–55.7,45.0,39.0,81.5,71.0,31.0
251–300,Stony Brook University,United States,53.7–55.7,44.0,31.7,81.4,68.0,76.4
251–300,Swinburne University of Technology,Australia,53.7–55.7,32.7,34.5,91.4,73.5,72.1
251–300,Technical University of Darmstadt,Germany,53.7–55.7,42.7,48.0,65.0,99.9,68.8
251–300,Tilburg University,Netherlands,53.7–55.7,28.2,43.8,76.6,80.5,85.7
251–300,United Arab Emirates University,United Arab Emirates,53.7–55.7,28.4,37.3,88.9,81.3,88.2
251–300,Université Laval,Canada,53.7–55.7,40.5,38.9,70.8,96.0,76.1
251–300,University at Buffalo,United States,53.7–55.7,40.9,35.3,75.9,78.2,73.9
251–300,University of Bath,United Kingdom,53.7–55.7,37.5,35.5,81.3,66.6,94.5
251–300,University of Bergen,Norway,53.7–55.7,35.2,37.1,82.1,76.7,77.4
251–300,"University of California, Riverside",United States,53.7–55.7,37.0,34.8,83.9,69.8,76.1
251–300,University of Duisburg-Essen,Germany,53.7–55.7,35.4,36.0,82.9,90.1,65.0
251–300,University of East Anglia,United Kingdom,53.7–55.7,31.5,31.3,90.1,59.7,88.8
251–300,University of Hawai’i at Mānoa,United States,53.7–55.7,40.6,43.4,75.7,67.8,76.7
251–300,University of Iowa,United States,53.7–55.7,46.5,33.2,78.0,91.5,54.3
251–300,University of Konstanz,Germany,53.7–55.7,38.6,43.2,73.4,96.6,74.6
251–300,University of Liège,Belgium,53.7–55.7,34.0,42.8,72.9,96.7,74.5
251–300,University of Malaya,Malaysia,53.7–55.7,45.5,36.7,69.2,60.8,88.9
251–300,University of Navarra,Spain,53.7–55.7,37.2,32.3,84.5,87.0,75.9
251–300,University of Newcastle,Australia,53.7–55.7,31.7,36.0,84.8,84.6,83.3
251–300,University of Oulu,Finland,53.7–55.7,34.3,38.9,84.7,69.7,63.6
251–300,University of Southern Denmark,Denmark,53.7–55.7,30.3,35.0,88.3,95.0,76.8
251–300,University of Stuttgart,Germany,53.7–55.7,43.5,49.7,62.9,99.9,61.1
251–300,University of Tasmania,Australia,53.7–55.7,32.0,36.3,81.6,76.7,90.0
251–300,Virginia Polytechnic Institute and State University,United States,53.7–55.7,40.7,40.6,79.7,77.9,65.3
301–350,"Birkbeck, University of London",United Kingdom,51.1–53.6,34.7,32.2,77.8,64.6,91.6
301–350,"China Medical University, Taiwan",Taiwan,51.1–53.6,26.7,32.5,92.1,93.6,51.3
301–350,Dalhousie University,Canada,51.1–53.6,29.6,32.9,76.9,78.2,88.5
301–350,Flinders University,Australia,51.1–53.6,27.2,37.3,78.9,71.6,88.3
301–350,Florida State University,United States,51.1–53.6,37.3,40.5,76.3,67.3,58.0
301–350,Griffith University,Australia,51.1–53.6,28.5,36.1,83.1,78.4,82.5
301–350,Hasselt University,Belgium,51.1–53.6,33.1,38.2,73.4,88.5,72.1
301–350,Hebrew University of Jerusalem,Israel,51.1–53.6,45.1,37.2,70.9,72.0,45.6
301–350,Hunan University,China,51.1–53.6,34.2,32.9,91.7,93.1,32.9
301–350,King Khalid University,Saudi Arabia,51.1–53.6,39.0,30.2,74.3,58.5,90.9
301–350,Kyushu University,Japan,51.1–53.6,53.8,47.6,53.3,98.5,49.2
301–350,Loughborough University,United Kingdom,51.1–53.6,35.6,33.9,76.2,70.2,91.2
301–350,Norwegian University of Science and Technology,Norway,51.1–53.6,35.3,39.3,75.4,72.3,66.3
301–350,Oregon Health and Science University,United States,51.1–53.6,39.0,21.2,91.6,89.4,33.7
301–350,Queen’s University,Canada,51.1–53.6,35.0,36.4,76.2,79.8,76.3
301–350,Ruhr University Bochum,Germany,51.1–53.6,35.8,39.3,71.8,74.9,61.9
301–350,Rutgers University – New Brunswick,United States,51.1–53.6,44.1,29.9,79.2,69.1,61.8
301–350,Sharif University of Technology,Iran,51.1–53.6,36.5,36.6,78.7,95.4,31.6
301–350,Simon Fraser University,Canada,51.1–53.6,28.6,35.5,81.8,84.5,92.2
301–350,Southeast University,China,51.1–53.6,37.6,45.4,71.4,99.3,46.3
301–350,Stellenbosch University,South Africa,51.1–53.6,31.2,40.1,74.6,89.5,59.6
301–350,"St George’s, University of London",United Kingdom,51.1–53.6,23.0,27.0,95.9,70.7,77.5
301–350,Swansea University,United Kingdom,51.1–53.6,27.6,30.5,89.1,58.4,89.8
301–350,Tampere University,Finland,51.1–53.6,30.2,38.9,80.4,93.5,53.7
301–350,Technion Israel Institute of Technology,Israel,51.1–53.6,40.7,40.8,63.6,74.6,71.8
301–350,The University of Tennessee-Knoxville,United States,51.1–53.6,37.8,31.8,79.1,71.0,54.5
301–350,TU Wien,Austria,51.1–53.6,45.0,46.7,55.1,93.0,87.7
